school_name,campus_location,program_name,program_cost,java,csharp_net,html,css,javascript,es6,jquery,nodejs,reactjs,redux,heroku,sql,mysql,postgress,mongodb,firebase,git,spring,api,applied_stats,python,r,regression,classification,clustering,time_series_analysis,anomaly_detection,language_processing,machine_learning,advanced_topics,story_telling_with_data,domain_expertise_development,reporting_start,reporting_end,course_length,graduates_included,graduated_ontime,intend_infield_employment,employed_infield_90days,employed_infield_180days,not_seeking_infield_90days,not_seeking_infield_180days,still_seeking_infield_90days,still_seeking_infield_180days,median_annual_salary90days,median_annual_salary180days,under70K_90days,under70K_180days,salary_70K_80K_90days,salary_70K_80K_180days,salary_80K_90K_90days,salary_80K_90K_180days,over90K_90days,over90K_180days,state
The Tech Academy,Online,Python Developer BootCamp,"9,540.00",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,Self-paced,9,82.40,90.00,55.60,66.70,11.10,11.10,11.10,0.00,"59,000","65,000",75.00,80.00,0.00,0.00,0.00,0.00,25.00,20.00,
The Tech Academy,Online,Data Science BootCamp,"9,540.00",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1/1/2021,6/30/2021,Self-paced,3,100.00,100.00,66.70,100.00,0.00,0.00,33.30,0.00,"17,680","45,180",100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,
Turing School of Software and Design,Online,Back End Engineering,"25,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/2021,6/30/2021,220,84,68.00,100.00,64.30,76.20,2.40,2.40,31.00,19.00,"77,000","75,000",15.10,17.50,37.70,33.30,28.30,33.30,18.90,15.90,
Codeup,Dallas,Full-Stack Web Development,"22,500.00",1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,200,14,82.40,100.00,50.00,92.90,0.00,0.00,50.00,7.10,"60,000","50,000",100.00,92.40,0.00,0.00,0.00,7.70,0.00,0.00,Texas
Code Platoon,Chicago,Full-Stack Web Development,"15,500.00",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,120,16,81.00,94.10,62.50,81.30,0.00,0.00,37.50,18.80,"90,000","90,000",0.00,0.00,22.20,25.00,22.20,16.70,55.50,58.40,Illinois
Tech Elevator,Pittsburgh,Full-Stack Software Development,"16,500.00",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,95,42,95.50,100.00,66.70,90.40,2.40,4.80,28.50,2.40,"60,000","60,000",82.10,84.20,14.30,10.50,3.60,5.30,0.00,0.00,Pennsylvania
Codeup,San Antonio,Data Science BootCamp,"22,500.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7/1/2021,12/31/2021,200,42,85.70,100.00,78.60,88.10,0.00,0.00,21.40,11.90,"65,000","65,000",54.50,56.70,21.20,21.60,15.20,13.50,9.10,8.10,Texas
Codeup,San Antonio,Data Science BootCamp,"22,500.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7/1/2020,12/21/2020,165,16,94.10,100.00,43.80,81.30,0.00,0.00,56.30,18.80,"70,000","71,400",37.50,28.50,50.00,50.00,0.00,14.30,12.50,7.10,Texas
Code Platoon,Chicago,Full-Stack Web Development,"15,500.00",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2020,12/31/2020,104,15,88.20,93.30,46.70,60.00,6.70,6.70,40.00,26.70,"72,800","72,800",28.60,33.30,28.60,22.20,14.30,22.20,28.60,22.20,Illinois
Codesmith,Los Angeles,Full-Stack Web Development,"20,925.00",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,100,130,94.80,99.20,48.10,85.30,0.00,0.00,51.90,14.70,"123,250","124,900",0.00,0.00,0.00,0.00,0.00,0.00,100.10,100.00,California
