school_name,campus_location,program_name,reporting_start,reporting_end,course_length,graduates_included,graduated_ontime,intend_infield_employment,employed_infield_90days,employed_infield_180days,not_seeking_infield_90days,not_seeking_infield_180days,still_seeking_infield_90days,still_seeking_infield_180days,median_annual_salary90days,median_annual_salary180days,under70K_90days,under70K_180days,salary_70K_80K_90days,salary_70K_80K_180days,salary_80K_90K_90days,salary_80K_90K_180days,over90K_90days,over90K_180days
The Tech Academy,Online,Python Developer Boot Camp,7/1/2021,12/31/2021,Self-paced,9,82.4%,90.0%,55.6%,66.7%,11.1%,11.1%,11.1%,0.0%,"$59,000","$65,000",75.0%,80.0%,0.0%,0.0%,0.0%,0.0%,25.0%,20.0%
The Tech Academy,Online,Data Science Boot Camp,1/1/2021,6/30/2021,Self-paced,3,100.0%,100.0%,66.7%,100.0%,0.0%,0.0%,33.3%,0.0%,"$17,680","$45,180",100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Turing School of Software and Design,Online,Back End Engineering,1/1/2021,6/30/2021,220,84,68.0%,100.0%,64.3%,76.2%,2.4%,2.4%,31.0%,19.0%,"$77,000","$75,000",15.1%,17.5%,37.7%,33.3%,28.3%,33.3%,18.9%,15.9%
Codeup,Dallas,Full-Stack Web Development,1/1/2021,6/30/2021,200,14,82.4%,100.0%,50.0%,92.9%,0.0%,0.0%,50.0%,7.1%,"$60,000","$50,000",100.0%,92.4%,0.0%,0.0%,0.0%,7.7%,0.0%,0.0%
Code Platoon,Chicago,Full-Stack Web Development,7/1/2021,12/31/2021,120,16,81.0%,94.1%,62.5%,81.3%,0.0%,0.0%,37.5%,18.8%,"$90,000","$90,000",0.0%,0.0%,22.2%,25.0%,22.2%,16.7%,55.5%,58.4%
Tech Elevator,Pittsburgh,Full-Stack Software Development,1/1/2021,6/30/2021,95,42,95.5%,100.0%,66.7%,90.4%,2.4%,4.8%,28.5%,2.4%,"$60,000","$60,000",82.1%,84.2%,14.3%,10.5%,3.6%,5.3%,0.0%,0.0%
Codeup,San Antonio,Data Science,7/1/2021,12/31/2021,200,42,85.7%,100.0%,78.6%,88.1%,0.0%,0.0%,21.4%,11.9%,"$65,000","$65,000",54.5%,56.7%,21.2%,21.6%,15.2%,13.5%,9.1%,8.1%
"Codeup, LLC",San Antonio,Data Science,7/1/2020,12/21/2020,165,16,94.1%,100.0%,43.8%,81.3%,0.0%,0.0%,56.3%,18.8%,"$70,000","$71,400",37.5%,28.5%,50.0%,50.0%,0.0%,14.3%,12.5%,7.1%
Code Platoon,Chicago,Full-Stack Web Development,7/1/2020,12/31/2020,104,15,88.2%,93.3%,46.7%,60.0%,6.7%,6.7%,40.0%,26.7%,"$72,800","$72,800",28.6%,33.3%,28.6%,22.2%,14.3%,22.2%,28.6%,22.2%
Codesmith,Los Angeles,Full-Stack Web Development,1/1/2021,6/30/2021,100,130,94.8%,99.2%,48.1%,85.3%,0.0%,0.0%,51.9%,14.7%,"$123,250","$124,900",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.1%,100.0%
