school_name,campus_location,program_name,program_cost,java,csharp_net,html,css,javascript,es6,jquery,nodejs,reactjs,redux,heroku,sql,mysql,postgress,mongodb,firebase,git,spring,api,applied_stats,python,r,regression,classification,clustering,time_series_analysis,anomaly_detection,language_processing,machine_learning,advanced_topics,story_telling_with_data,domain_expertise_development,reporting_start,reporting_end,course_length,graduates_included,graduated_ontime,intend_infield_employment,employed_infield_90days,employed_infield_180days,not_seeking_infield_90days,not_seeking_infield_180days,still_seeking_infield_90days,still_seeking_infield_180days,median_annual_salary90days,median_annual_salary180days,under70K_90days,under70K_180days,salary_70K_80K_90days,salary_70K_80K_180days,salary_80K_90K_90days,salary_80K_90K_180days,over90K_90days,over90K_180days,state
The Tech Academy,Online,Python Developer BootCamp,9540.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,280.0,9,82.4,90.0,55.6,66.7,11.1,11.1,11.1,0.0,59000.0,65000.0,75.0,80.0,0.0,0.0,0.0,0.0,25.0,20.0,Online
The Tech Academy,Online,Data Science BootCamp,9540.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1/1/2021,6/30/2021,280.0,3,100.0,100.0,66.7,100.0,0.0,0.0,33.3,0.0,17680.0,45180.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Online
Turing School of Software and Design,Online,Back End Engineering,25000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/2021,6/30/2021,220.0,84,68.0,100.0,64.3,76.2,2.4,2.4,31.0,19.0,77000.0,75000.0,15.1,17.5,37.7,33.3,28.3,33.3,18.9,15.9,Online
Codeup,Dallas,Full-Stack Web Development,22500.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,200.0,14,82.4,100.0,50.0,92.9,0.0,0.0,50.0,7.1,60000.0,50000.0,100.0,92.4,0.0,0.0,0.0,7.7,0.0,0.0,Texas
Code Platoon,Chicago,Full-Stack Web Development,15500.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,120.0,16,81.0,94.1,62.5,81.3,0.0,0.0,37.5,18.8,90000.0,90000.0,0.0,0.0,22.2,25.0,22.2,16.7,55.5,58.4,Illinois
Tech Elevator,Pittsburgh,Full-Stack Software Development,16500.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,95.0,42,95.5,100.0,66.7,90.4,2.4,4.8,28.5,2.4,60000.0,60000.0,82.1,84.2,14.3,10.5,3.6,5.3,0.0,0.0,Pennsylvania
Codeup,San Antonio,Data Science BootCamp,22500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7/1/2021,12/31/2021,200.0,42,85.7,100.0,78.6,88.1,0.0,0.0,21.4,11.9,65000.0,65000.0,54.5,56.7,21.2,21.6,15.2,13.5,9.1,8.1,Texas
Codeup,San Antonio,Data Science BootCamp,22500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7/1/2020,12/21/2020,165.0,16,94.1,100.0,43.8,81.3,0.0,0.0,56.3,18.8,70000.0,71400.0,37.5,28.5,50.0,50.0,0.0,14.3,12.5,7.1,Texas
Code Platoon,Chicago,Full-Stack Web Development,15500.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2020,12/31/2020,104.0,15,88.2,93.3,46.7,60.0,6.7,6.7,40.0,26.7,72800.0,72800.0,28.6,33.3,28.6,22.2,14.3,22.2,28.6,22.2,Illinois
Tech Elevator,Remote,Full-Stack Software Development,16500.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,95.0,59,88.1,79.7,61.0,89.8,0.0,0.0,35.6,6.8,65000.0,64500.0,58.3,62.2,22.2,17.0,13.9,11.4,5.6,7.5,Online
