school_name,program_name,java,csharp_net,html,css,javascript,es6,jquery,nodejs,reactjs,redux,heroku,sql,mysql,postgress,mongodb,firebase,git,spring,api,applied_stats,python,r,regression,classification,clustering,time_series_analysis,anomaly_detection,language_processing,machine_learning,advanced_topics,story_telling_with_data,domain_expertise_development,employed_infield_180days,median_annual_salary180days,Skill_Set,skill_group,cluster_skills
The Tech Academy,Python Developer BootCamp,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,65000.0,"['html', 'css', 'javascript', 'sql', 'python']",A,0
The Tech Academy,Data Science BootCamp,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,45180.0,"['html', 'css', 'javascript', 'sql', 'applied_stats', 'python', 'r', 'regression', 'classification', 'clustering', 'time_series_analysis', 'anomaly_detection', 'language_processing', 'machine_learning', 'advanced_topics', 'story_telling_with_data', 'domain_expertise_development']",B,4
Turing School of Software and Design,Back End Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2,75000.0,[],C,0
Codeup,Full-Stack Web Development,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9,50000.0,"['java', 'html', 'css', 'javascript', 'jquery', 'mysql', 'git', 'spring']",D,3
Code Platoon,Full-Stack Web Development,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.3,90000.0,"['html', 'css', 'javascript', 'reactjs', 'sql', 'postgress', 'git', 'python']",E,2
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.4,60000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Codeup,Data Science BootCamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.1,65000.0,"['sql', 'applied_stats', 'python', 'regression', 'classification', 'clustering', 'time_series_analysis', 'anomaly_detection', 'language_processing', 'machine_learning', 'advanced_topics', 'story_telling_with_data', 'domain_expertise_development']",G,4
Codeup,Data Science BootCamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.3,71400.0,"['sql', 'applied_stats', 'python', 'regression', 'classification', 'clustering', 'time_series_analysis', 'anomaly_detection', 'language_processing', 'machine_learning', 'advanced_topics', 'story_telling_with_data', 'domain_expertise_development']",G,4
Code Platoon,Full-Stack Web Development,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,72800.0,"['html', 'css', 'javascript', 'reactjs', 'sql', 'postgress', 'git', 'python']",E,2
Codesmith,Full-Stack Web Development,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.3,124900.0,"['es6', 'nodejs', 'reactjs', 'redux', 'postgress', 'mongodb']",H,1
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.8,64500.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.9,55000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,67000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Codeup,Full-Stack Web Development,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.5,62400.0,"['java', 'html', 'css', 'javascript', 'jquery', 'mysql', 'git', 'spring']",D,3
Codeup,Full-Stack Web Development-Java,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.2,52000.0,"['java', 'html', 'css', 'javascript', 'jquery', 'mysql', 'git', 'spring']",D,3
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.7,60000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Code Platoon,Full-Stack Web Development,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3,105000.0,"['html', 'css', 'javascript', 'reactjs', 'sql', 'postgress', 'git', 'python']",E,2
